urn	text
urn:cts:greekLit:tlg5026.msA.normed:15.188.comment	σχολιον · επιθετικον γαρ ον δασυνεσθαι ωφειλεν, αλλα τουτο ει συνθετον ην εγενετο αν νυν δε ως εν τοις ανω ειπεν παραγωγην ελαβεν της αλος κατα παρολκην κειμενης. διονυσιος δε ο αλικαρνασσευς εν τεταρτω αττικων ονοματων ουτως εφη· φιλιππος μεν της μεσης δασυνομενης το προσηγορικον ουτως γαρ και εν τηρει σοφοκλεους , αναγινωσκομεν ηλιε φιλιπποις θριξι πρεσβιστον σελας : φιλιππος δε ψιλως ο μακεδων : και ωκυ αλος μεν δασεως η ναυς: ψιλως δε ο ανηρ · ωρτο μεν ακρονεως τε και ωκυαλος εναντιως δε ο ηρωδιανος ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.189.lemma	και ξιφεσιν μεγαλοισι,
urn:cts:greekLit:tlg5026.msA.normed:15.189.comment	αθετειται οτι ευτελης ο στιχος και ιδιωτης της μαχης ου σωζεται· ξιφεσι μεν γαρ και εγχεσι παντοτε μαχονται, νυν δε πελεκεσι και αξιναις ο δε διονυσιος . πως ουν επιφερει πολλα δε φασγανα αλλα μεν εκ χειρων χαμαδις πεσον ει μη ειχον ξιφη ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.190.lemma	τοξων αικας,
urn:cts:greekLit:tlg5026.msA.normed:15.190.comment	ως παλλακας και εγενετο παρα το αισσω αικη ως φυλασσω φυλακη υλασσω υλακη . εστι μεντοι και ετερα ευθεια η αιξ ητις εν συνθεσει εστι και παρ αυτω πολυαιξ γυια δ' εθηκ' εν και πολυαικος πολεμοιο και „ κορυθαικι πολεμιστη . και δηλον οτι ει παρα ταυτην την αιξ ευθειαν την πληθυντικην αιτιατικην σχηματιζοιμεν οφειλομεν κατα συστολην αναγινωσκειν οπερ ουχ ουτως εχει δηλον γαρ εκ του μετρου: χρη μεντοι εκεινο επιστησαι ως τα εις κηληγοντα υπερ δυο συλλαβας τω ι παραληγομενα φιλει βαρυνεσθαι ως εχει το ελικη ερικη . μυρικη φοινικη το μεντοι αικη οξυτονηθη, ισως οτι ρηματικον υπηρχε των αλλων ουχ ουτως εχοντων ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.200.lemma	πολλα δε φασγανα καλα⁚
urn:cts:greekLit:tlg5026.msA.normed:15.200.comment	οτι ου χρομενων τοις ξιφεσι προς μαχην χαμαδις επιπτον αλλα των ωμων κοπτομενων τοις πελεκεσι: και των καρπων συν τοις ξιφεσιν ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.191.lemma	αφλαστον⁚
urn:cts:greekLit:tlg5026.msA.normed:15.191.comment	το λεγομενον ακροστολιον της νεως πρυμνης ειρηται δε κατ αντιφρασιν ευθλαστον γαρ υπαρχει ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.192.lemma	οισετε πυρ⁚
urn:cts:greekLit:tlg5026.msA.normed:15.192.comment	οτι οισετε αντι του φερετε ου γαρ τον μελλοντα δηλοι το οισετε . αλλ απο του οισε ο εστιν αναλογον το φερε ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.193.lemma	νυν ημιν παντων:
urn:cts:greekLit:tlg5026.msA.normed:15.193.comment	νυν αντι του παντων των τολμηθεντων εις ημας αξιαν αμοιβην παρεσχεν ημιν ο ζευς προς το ελειν τας ναυς ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.194.lemma	νυν αυτος εποτρυνει και ανωγει,
urn:cts:greekLit:tlg5026.msA.normed:15.194.comment	βαρυτονως αναγνωστεον και ως απο περισπωμενου δεικνυται τινα εχων κινηματα. ωσπερ επι του και δε τοδ' ηνωγεον ειπειν επος , ουκ αναγκαιον ξενιζειν την αναγνωσιν και περισπαν κλινεται γαρ και ως βαρυτονον ωσπερ επι του ος ποτ' ενι τρωων αγορην μενελαον ανωγεν : προδηλον κακ των προστακτικων ανωγετον . ανωγετω · ανωχθι δε μει γαμεεσθαι δι ο και βαρυτονως αναγνωστεον ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.195.lemma	‡ θρηνυν⁚
urn:cts:greekLit:tlg5026.msA.normed:15.195.comment	υποποδιον. θρηνυν δε βελτιον καλεισθαι υπο ομηρου τας καθεδρας των ερετων: αναχωρων γαρ απο της νεως κατα των στρωματων επι ταυτας αφικνειται: τινες δε τοπον της νεως βασιν εχοντα εφ ου τον κυβερνητην τους ποδας τιθεναι ο και εδωλιον φασιν αλλοι δε την υποδεχομενην τον ιστον τραπεζαν ειπον: οι δε διαβαθραν απο νεος εις νηα ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.196.lemma	ενθ αρ ο γ' εστηκει,
urn:cts:greekLit:tlg5026.msA.normed:15.196.comment	οτι παθητικως δεδοκημενως αντι του δοκευων επιτηρων ως ραβδω πεπληγυια ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.197.lemma	ηε τινας φαμεν ειναι⁚
urn:cts:greekLit:tlg5026.msA.normed:15.197.comment	το φαμεν εντελες εστι και ενεστωτα χρονον σημαινει διο τας δυο συλλαβας βαρυτονητεον: ει μεντοι παρατατικος γινοιτο. δηλον οτι αποβολην χρονου του κατ αρχην πασχει και επι την φα συλλαβην η οξεια τασις εσται: ομοιον ως το εφαμεν εντελει ωσπερ επ εκεινου φαμεν δε οι ου τελεεσθαι οπερ ουκ επιζητει νυν η διανοια ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.198.lemma	τω εν χερσι φοως:
urn:cts:greekLit:tlg5026.msA.normed:15.198.comment	αρισταρχος κατα δοτικην εγραφεν συναπτων δηλονοτι ολον τον στιχον εσται δε ουτως το εξης τω εν χερσιν ου μειλιχιχιη τελος πολεμοιο οιον εν τω δορατι ουκ εν προσηνεια ουδ' εν αργια κειται η του πολεμου σωτηρια: διονυσιος δε ο θραξ κατ ευθειαν πτωσιν ω ακολουθον εστι στιζειν επι το φοως τελεια στιγμη και εσται καθε αυτο εκατερον ημιστιχιον: ο δε λογος. διοπερ εν χερσιν η σωτηρια , προσηνεια δε ουκ εστι πολεμου ⁑
urn:cts:greekLit:tlg5026.msA.normed:15.199.lemma	ου μειλιχιη,
urn:cts:greekLit:tlg5026.msA.normed:15.199.comment	συν τω ι το μειλιχιη το γαρ λεγομενον τοιουτο, διο το του πολεμου φως ημιν εν ταις χερσιν ουκ εν τη μειλιχια απαντησει ⁑
urn:cts:greekLit:tlg5026.msAext.normed:14.B1.comment	φθισηνορα δευρ' αφικαν'
urn:cts:greekLit:tlg5026.msAext.normed:14.E1.comment	δε σευ
urn:cts:greekLit:tlg5026.msAext.normed:14.E2.comment	ου δηθα ματευσομεν
urn:cts:greekLit:tlg5026.msAext.normed:14.G1.comment	αλαοσκοπιην
urn:cts:greekLit:tlg5026.msAext.normed:14.C1.comment	δαμναι
urn:cts:greekLit:tlg5026.msAext.normed:14.C2.comment	οι μ' εν σφοισι
urn:cts:greekLit:tlg5026.msAext.normed:14.C3.comment	εω
urn:cts:greekLit:tlg5026.msAext.normed:14.H1.comment	οι μ' εν σφοισι
urn:cts:greekLit:tlg5026.msAext.normed:14.H2.comment	
urn:cts:greekLit:tlg5026.msAext.normed:14.A1.comment	λεξασθην εερσα
urn:cts:greekLit:tlg5026.msAext.normed:14.A2.comment	ποσειδαον
urn:cts:greekLit:tlg5026.msAext.normed:14.A3.comment	μεθιεμεν
urn:cts:greekLit:tlg5026.msAext.normed:14.D1.comment	ποσειδ
urn:cts:greekLit:tlg5026.msAext.normed:14.D2.comment	
urn:cts:greekLit:tlg5026.msAext.normed:14.D3.comment	ποσειδα
urn:cts:greekLit:tlg5026.msAext.normed:14.D4.comment	
urn:cts:greekLit:tlg5026.msAim.normed:14.B1.comment	εν τη ζηνοδοτου πορφυρει δια της ει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.B2.comment	ουτως ουδ' αρα τε δια του τε αι αρισταρχου ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.B3.comment	οτι εναχρ σηαινει βουλεται δε νυν αντι του ελεληκει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.B4.comment	οτι συλληπτικως ειρηκεν βεβληατο επι των ουτασμενων ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.B5.comment	αριστοφανης ος ποτε δια του ο γραφει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.E1.comment	οτι αντι εοικεν
urn:cts:greekLit:tlg5026.msAim.normed:14.E2.comment	ελλειπει το η μινας αλωη ,
urn:cts:greekLit:tlg5026.msAim.normed:14.E3.comment	ουτως επισταιτο:
urn:cts:greekLit:tlg5026.msAim.normed:14.E4.comment	ουτως νεωτατος υπερθετικως ωμολογουν απασαι:
urn:cts:greekLit:tlg5026.msAim.normed:14.E5.comment	ουτος ο στιχος μεταξυ κειται· το δε εξης αγριος η δε μελας
urn:cts:greekLit:tlg5026.msAim.normed:14.E6.comment	ουτως αρισταρχος ζηνοδοτος δε "εμειο" ουκ ορθως
urn:cts:greekLit:tlg5026.msAim.normed:14.E7.comment	γραφεται και αυτου ως αυτου οι και σημα τετευξεται :
urn:cts:greekLit:tlg5026.msAim.normed:14.E8.comment	αρισταρχος ει ετεον περ
urn:cts:greekLit:tlg5026.msAim.normed:14.G1.comment	εν αλλω συ δ' εποψεαι αυτους ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.G2.comment	οτι ελλειπει η δια δια πεδιον
urn:cts:greekLit:tlg5026.msAim.normed:14.G3.comment	παραγραπτεον επανω δια το ετερων πραγματων αρχην ειναι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.G4.comment	αρισταρχος πολυπιδακος αλλοι δε πολυπιδακου :
urn:cts:greekLit:tlg5026.msAim.normed:14.G5.comment	εν αλλω. οπως ιμειραιτο ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.G6.comment	οτι πληθυντικως την θυραν θυρας
urn:cts:greekLit:tlg5026.msAim.normed:14.G7.comment	αρισταρχος κατα χαλκοβατει
urn:cts:greekLit:tlg5026.msAim.normed:14.G8.comment	ζηνοδοτος και αριστοφανης καλους και μεγαλους ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.C1.comment	εν αλλω λαμπρον δ' ην :
urn:cts:greekLit:tlg5026.msAim.normed:14.C2.comment	εν αλλω ανωγει :
urn:cts:greekLit:tlg5026.msAim.normed:14.C3.comment	εν αλλω δος νυν μοι νυν ,
urn:cts:greekLit:tlg5026.msAim.normed:14.C4.comment	δια του α ρειας αι αρισταρχου ουτως και αριστοφανης ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.C5.comment	εν τισι των υπομνηματων ηδ' ο αριστυς :
urn:cts:greekLit:tlg5026.msAim.normed:14.C6.comment	οτι πτωσις ενηλλακται αντι αυτης ταις χερσιν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.C7.comment	αρισταρχος μεσω αλλοι δε, εω`
urn:cts:greekLit:tlg5026.msAim.normed:14.C8.comment	εν αλλω εσσυτ' εφ ιπποπολων ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.C9.comment	εμβαλει
urn:cts:greekLit:tlg5026.msAim.normed:14.H1.comment	ουτως εν πασαις δμητειρα αριστοφανης και ζηνοδοτος μητειρα
urn:cts:greekLit:tlg5026.msAim.normed:14.H2.comment	ζηνοδοτος και αριστοφανης εξω του τε ης αυτος εελδομαι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.H3.comment	αρισταρχος υπο ειτα σειετο ιακως ουτως και ζηνοδοτος και αριστοφανης :
urn:cts:greekLit:tlg5026.msAim.normed:14.H4.comment	ουτως αρισταρχος αλλοι δε πρωτιστον:
urn:cts:greekLit:tlg5026.msAim.normed:14.H5.comment	ηθετουντο παρα ζηνοδοτω
urn:cts:greekLit:tlg5026.msAim.normed:14.H6.comment	ζηνοδοτος και αριστοφανης μετοπισθε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.H7.comment	αρισταρχος μινων συν τω ν ζηνοδοτος χωρις του ν ‡
urn:cts:greekLit:tlg5026.msAim.normed:14.A1.comment	ζηνοδοτος και αριστοφανης επει νυ τοι ευαδεν ευνην ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.A2.comment	ζηνοδοτος επεπιπτον ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.A3.comment	οτι συν τω ν νηδυμος
urn:cts:greekLit:tlg5026.msAim.normed:14.A4.comment	εν αλλω κωμ' εκαλυψα :
urn:cts:greekLit:tlg5026.msAim.normed:14.A5.comment	υποστικτεον κατα το τελος του στιχου λειπει γαρ το εισι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.A6.comment	αρισταρχος δια της ει διφθογγου εχει ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D1.comment	οτι συλληπτικως ειρηκεν ουτασμενων τινων και βεβλημενων ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D2.comment	ουτως δια του ν τοσσον γε ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D3.comment	εξω του τ αι αρισταρχου ουτως και ζηνοδοτος και αριστοφανης ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D3bis.comment	ουτως αρισταρχος βεβληκει : ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D4.comment	γραφεται υπο ριπης
urn:cts:greekLit:tlg5026.msAim.normed:14.D5.comment	αρισταρχος ωκυ : ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.D6.comment	εν αλλω περιβησαν απαντες ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F1.comment	ουτως κομισε χωρις του ν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F2.comment	η κεφαλη προελαβε τα κατω πιπτοντα ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F3.comment	ζηνοδοτος αμυμονα πουλυδαμαντα
urn:cts:greekLit:tlg5026.msAim.normed:14.F4.comment	ισως λειπει δε το δοκει σοι⋅
urn:cts:greekLit:tlg5026.msAim.normed:14.F5.comment	αριστοφανης αυτω γαρ ρα φυην αγχιστα εοικεν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F6.comment	προς το ος χρυσην αμφιβεβηκας οτι εστιν υπερμαχεις
urn:cts:greekLit:tlg5026.msAim.normed:14.F7.comment	εν αλλω εγχει εμω μι τοι τι ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F8.comment	γραφεται τους αρα παντας υπο χλωρον αεος ειλεν ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F9.comment	γραφεται ουτα κατα λαπαρην ⁑
urn:cts:greekLit:tlg5026.msAim.normed:14.F10.comment	οτι παρετυμολογει την ωτειλην απo του ουτασε⁑
urn:cts:greekLit:tlg5026.msAil.normed:14.B1.comment	απρεπες
urn:cts:greekLit:tlg5026.msAil.normed:14.B2.comment	προσημαινον
urn:cts:greekLit:tlg5026.msAil.normed:14.B3.comment	πολεμον μενος ⁑
urn:cts:greekLit:tlg5026.msAil.normed:14.B4.comment	εις φοβον ηγαγεν:
urn:cts:greekLit:tlg5026.msAil.normed:14.E1.comment	ειλκυσμενοι εισι
urn:cts:greekLit:tlg5026.msAil.normed:14.E2.comment	κατεργαζεται:
urn:cts:greekLit:tlg5026.msAil.normed:14.E3.comment	ανθεξουσι περιβλεψονται φυγειν ⁑
urn:cts:greekLit:tlg5026.msAil.normed:14.G1.comment	απο του ακρωτηριου
urn:cts:greekLit:tlg5026.msAil.normed:14.G2.comment	ανδρος αδελφον
urn:cts:greekLit:tlg5026.msAil.normed:14.G3.comment	εξαπατησειε
urn:cts:greekLit:tlg5026.msAil.normed:14.G4.comment	ερασθη
urn:cts:greekLit:tlg5026.msAil.normed:14.G5.comment	συγκοιμηθηναι
urn:cts:greekLit:tlg5026.msAil.normed:14.C1.comment	υφη
urn:cts:greekLit:tlg5026.msAil.normed:14.C2.comment	ενωτια
urn:cts:greekLit:tlg5026.msAil.normed:14.C3.comment	τρικκοκα
urn:cts:greekLit:tlg5026.msAil.normed:14.C4.comment	μετα κακοπαθειας ειργασμενα ⁑
urn:cts:greekLit:tlg5026.msAil.normed:14.C5.comment	της ρεας
urn:cts:greekLit:tlg5026.msAil.normed:14.C6.comment	ομολογω
urn:cts:greekLit:tlg5026.msAil.normed:14.H1.comment	τω ηρακλει
urn:cts:greekLit:tlg5026.msAil.normed:14.H2.comment	επεγειραμενος
urn:cts:greekLit:tlg5026.msAil.normed:14.H3.comment	κατελιπον
urn:cts:greekLit:tlg5026.msAil.normed:14.H4.comment	ιμνε
urn:cts:greekLit:tlg5026.msAil.normed:14.Z1.comment	ι
urn:cts:greekLit:tlg5026.msAil.normed:14.A1.comment	βλεπειν
urn:cts:greekLit:tlg5026.msAil.normed:14.A2.comment	παρωρμησεν:
urn:cts:greekLit:tlg5026.msAil.normed:14.Z2.comment	α
urn:cts:greekLit:tlg5026.msAil.normed:14.D4.comment	οπου δη
urn:cts:greekLit:tlg5026.msAil.normed:14.D5.comment	ο εκτωρ
urn:cts:greekLit:tlg5026.msAil.normed:14.F1.comment	εν αλλω εοικεν
urn:cts:greekLit:tlg5026.msAil.normed:14.F2.comment	ονομα κυριον υιος αλεγηνορος
urn:cts:greekLit:tlg5026.msAil.normed:14.F3.comment	εκ δικια
urn:cts:greekLit:tlg5026.msAil.normed:14.F4.comment	περιουσιαν
urn:cts:greekLit:tlg5026.msAil.normed:14.F5.comment	αντι του ειπατε:
urn:cts:greekLit:tlg5026.msAil.normed:14.F6.comment	ζηνοδοτος και αριστοφανης εν νυσι
urn:cts:greekLit:tlg5026.msAint.normed:14.B1.comment	διχως αι αρισταρχου μακρον και πολλον ζενοδοτος και αριστοφανης πολλον ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.B2.comment	εν τη αριστοφανους δειδια :
urn:cts:greekLit:tlg5026.msAint.normed:14.B3.comment	εν αλλως κεινος γε ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.E1.comment	η παρα περιττη
urn:cts:greekLit:tlg5026.msAint.normed:14.E2.comment	αριστοφανης χωρις του σ γνοιη ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.E3.comment	αλλοι· νοος γ' ερξει
urn:cts:greekLit:tlg5026.msAint.normed:14.E4.comment	οτι παλιν συλληπτικως ου γαρ παντες εβεβλητο:
urn:cts:greekLit:tlg5026.msAint.normed:14.E5.comment	νωνυμνους απολεσθαι απ αργεος ενθαδ' αχαιους
urn:cts:greekLit:tlg5026.msAint.normed:14.E6.comment	αι ζηνοδοτου εκπερσειν ου καλλειψειν και παριστησιν ηθος :
urn:cts:greekLit:tlg5026.msAint.normed:14.E7.comment	ον ουχ ετερος ειποι:
urn:cts:greekLit:tlg5026.msAint.normed:14.E8.comment	επικρατουσι
urn:cts:greekLit:tlg5026.msAint.normed:14.E9.comment	νυν φθονω φθονησετε
urn:cts:greekLit:tlg5026.msAint.normed:14.E10.comment	γραφεται "καλυψε":
urn:cts:greekLit:tlg5026.msAint.normed:14.E11.comment	εν αλλω "μιμνε":
urn:cts:greekLit:tlg5026.msAint.normed:14.E12.comment	οτι αντι του εοικατε ακηκοεναι:
urn:cts:greekLit:tlg5026.msAint.normed:14.G1.comment	ελλειπει η απο προθεσις απεχωμεθα ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.G2.comment	οτι ζηνοδοτος γραφει ουδ' αλαον σκοπιην ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.G3.comment	η αριστοφανους δια του δε οσσον δ' εννεαχιλοι επιαχον ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.G4.comment	οτι ορος ο ολυμπος και ρια εχει και απο των ορων επιθεωρουσι ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C1.comment	οτι εανος ο αυτος τω πεπλω και καθολου προς τον στολισμον:
urn:cts:greekLit:tlg5026.msAint.normed:14.C2.comment	αρισταρχος ζωνη αλλοι δε ζωνην και αραρυιαν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C3.comment	μαλλον τοις επανω τουτο προσδοτεον ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C4.comment	ουτως αρισταρχος αλλοι δε οι με σφοισι .
urn:cts:greekLit:tlg5026.msAint.normed:14.C5.comment	οτι παραλληλως δηρον και χρονον ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C6.comment	οτι ορος ο ολυμπος το γαρ ριον ιδιως επορους τασσεται ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C7.comment	ζηνοδοτος και αριστοφανης ες ποντον εβησετο και μηποτε αμεινον:
urn:cts:greekLit:tlg5026.msAint.normed:14.C8.comment	αρισταρχος χαριν ειδεω αι δε δημωδεις ειδεω χαριν :
urn:cts:greekLit:tlg5026.msAint.normed:14.C9.comment	ουτως ηρωδιανος επισχυες :
urn:cts:greekLit:tlg5026.msAint.normed:14.C10.comment	νηδυμος συν τω ν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.C11.comment	ουτως κατ ευθειαν αλλο τεη · και αρισταρχος και ηρωδιανος ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.H1.comment	το εξης εστιν ομοσον η μεν εμοι τα δε αλλα δια μεσον:
urn:cts:greekLit:tlg5026.msAint.normed:14.H2.comment	γραφεται και οιος
urn:cts:greekLit:tlg5026.msAint.normed:14.H3.comment	ζηνοδοτος και αριστοφανης εξω του κε συνδεσμου των επιβαιης:
urn:cts:greekLit:tlg5026.msAint.normed:14.H4.comment	γραφεται οι μ' εν σφοισι ,
urn:cts:greekLit:tlg5026.msAint.normed:14.H5.comment	οτι εχει τι ομηρικον προς γαρ το δευτερον προτερον απηντηκεν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.A1.comment	ουτως αρισταρχος εεργε ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.A2.comment	λειπει το η ος εαν η διο υποστιγμη και επι τω μρμος ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.D1.comment	ουτως αριστραρχος δοσκον
urn:cts:greekLit:tlg5026.msAint.normed:14.D2.comment	ουτως δια του α γραπτεον τανυσσαν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.D3.comment	οτι προς το δευτερον προτερον απηντησεν ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.D4.comment	εν τισι των υπομνηματων ωρορε και εστιν ομοιον τω ωρορ' επαιξας ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.D5.comment	οτι η προθεσις παρειται και πτωσις ηλλακται, αντι επ αιαντα ⁑
urn:cts:greekLit:tlg5026.msAint.normed:14.F1.comment	οτι εξωθεν ακουστεον το ως ιν' η ως κωδειαν ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B1.lemma	‡ νεστορα δ' ουκ ελαθεν ιαχη:
urn:cts:greekLit:tlg5026.msA.normed:14.B1.comment	στικτεον κατα το τελος του στιχου· ο γαρ λογος, νεστορα δε καιπερ πινοντα ομως ουκ ελαθεν η βοη προς αλλοις γαρ η του πινοντα ψυχη. απρεπες δε τινες οιηθεντες ειναι και ου κατα πρεσβυτην το πινειν επι το ιαχη στιξαντες τα εξης συναπτουσιν πινοντα περ εμπης. αλλ ασκληπιαδην : προς δε το μη ειναι ομηρικον το υπερβατον και το περι του μαχαονος ατοπον, περι ου και την αρχην εζητειτο ει δεοντως τετρωμενος οινον προσεφερετο. βελτιον ουν η συνηθης αναγνωσις ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B2.lemma	νεστορα δ' ουκ ελαθεν:
urn:cts:greekLit:tlg5026.msA.normed:14.B2.comment	σφοδρα συνετως εισαγεται ο νεστωρ μη νικωμενος υπο μεθης των λογισμων, δηλοι δε ως ουδε η χρεια των ηδεων κατα την διαιταν τοις πουδαιοις εμποδων προς επισκεψιν γινεται: εζητηται δε πως ο νεστωρ επι τοσουτον πινειν αρξαμενος απο των εσχατων της λ · και ρητεον οτι ου τοσουτον χρονον επινεν αλλ ομηρος κατα παρεκβασιν επαγγειλας τας πραξεισ βουληθεις δε επι τον νεστορα μεταβηναι παλιν απο ταυτης της πραξεως ηρξατο αφ ησπερ αυτον και κατελιπε ποιουντα ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B3.lemma	ελαθεν
urn:cts:greekLit:tlg5026.msA.normed:14.B3.comment	σημαινει και το εκ προαιρεσεως μαθοντα παραπεμψασθαι ως το και τοτ' εγω κιρκης λιθομην εν
urn:cts:greekLit:tlg5026.msA.normed:14.B4.lemma	πινε,
urn:cts:greekLit:tlg5026.msA.normed:14.B4.comment	αντι του πιθι ως διεφαινετο χωρος πιπτοντων , αλλ αντι του πεσοντων ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B5.lemma	οπως εσται
urn:cts:greekLit:tlg5026.msA.normed:14.B5.comment	το εσται διαφερει του γενησεται : το μεν γαρ επι του υπαρχοντος ως εσται γερων ωδε , το δε επι μι οντος γενησεται παις ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B6.lemma	θερμηνη και λουση
urn:cts:greekLit:tlg5026.msA.normed:14.B6.comment	οτι ου παν αιμα βροτος, αλλα το απο βροτου πεφονευμενου· την δε προθεσιν αναστρεπτεον το γαρ εξης εστιν απολουση ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B7.lemma	αυταρ εγων ελθων
urn:cts:greekLit:tlg5026.msA.normed:14.B7.comment	οτι το ταχα αντι του ταχεως και οτι περιωπη τοπος εξ ου περιοψεται τις παντα και τον αγαμεμνονα νοητεον προεληλυθεναι επι τινα τοιουτον τοπον ινα ιδη τα των τρωων πυρα ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B8.lemma	χαλκω παμφαι ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B8.comment	πιθανως ο νεος εισηκται κεχρημενος τη χρυση ασπιδι προειρηκεν γαρ περι αυτης ο ποιητης αλλ εφομαρτειτον και σπευδετον οφρα λαβοιμεν ασπιδα νεστορεην: της νυν κλεος ουρανον ικει πασαν χρυσειην εμεναι κακονας τε και αυτην ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B9.lemma	στη δ᾽ εκτος κλισιης,
urn:cts:greekLit:tlg5026.msA.normed:14.B9.comment	οτι ου κατα το ακριβες εκτος της κλισιας εστη αλλ επι την περιωπην προηλθεν ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B10.lemma	ερεριπτο:
urn:cts:greekLit:tlg5026.msA.normed:14.B10.comment	εστι ρημα εριπτω σηναινον το πιπτω : ηριπε δ' ως οτε τις δρυς η αχερωις . σημαινει δε και το καταβαλλω ρεια οχθας βαθειας ποσσιν εριπτων αντι του κατα ριπτων και καταβαλλων ου γινεται παθητικον εριπτομαι αντι του καταβαλλομαι και ηριμμαι παρακειμενος και ηριμμην υπερσυντελικος ηριψο ηριπτο και αττικως διπλασιασμος ερηριπτο και κατα συστολην ερεριπτο ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B11.lemma	ως δ᾽ οτε πορφυρη
urn:cts:greekLit:tlg5026.msA.normed:14.B11.comment	οτι πορφυρη μελανιζει: ειωθεν δε οτ αν αρχην λαμβανη κινηματος η θαλασσα μελανιζειν δι ο μεταφερει επι τους κατα ψυχην μεριμνωντας και ταρασσομενους και οτι κωφω λεγει τω αφωνω και μηδεπω καχλαζοντι και αποτελουντι ηχν· μηδεπω γαρ ανεμον ευκρινους οντος το κυμα ηρεμει ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B12.lemma	δαιζομενος
urn:cts:greekLit:tlg5026.msA.normed:14.B12.comment	διχη μεριζομενος τω σκεμματι των λογισμων τουτεστιν επι πολλα τον λογισμον μεταφερων και διασκοπουμενος ⁑
urn:cts:greekLit:tlg5026.msA.normed:14.B13.lemma	διχθαδει η μεθ ομιλον
